entry_ts,exit_ts,side,entry,exit,reason,pnl%
2025-06-07 12:00:00+00:00,2025-06-17 08:00:00+00:00,L,105558.1,105641.5,REV,-0.071
2025-06-17 08:00:00+00:00,2025-06-20 04:00:00+00:00,S,105641.5,105811.7,REV,-0.311
2025-06-20 04:00:00+00:00,2025-06-20 16:00:00+00:00,L,105811.7,102680.4,SL,-3.109
2025-06-21 08:00:00+00:00,2025-06-21 20:00:00+00:00,L,103874.6,100845.8,SL,-3.066
2025-06-25 08:00:00+00:00,2025-07-03 00:00:00+00:00,L,107198.0,108628.2,REV,1.184
2025-07-03 00:00:00+00:00,2025-07-06 20:00:00+00:00,S,108628.2,109203.8,REV,-0.68
2025-07-06 20:00:00+00:00,2025-07-10 16:00:00+00:00,L,109203.8,112634.5,TP,2.992
2025-07-14 12:00:00+00:00,2025-07-23 20:00:00+00:00,S,119878.2,118756.0,REV,0.786
2025-07-23 20:00:00+00:00,2025-07-25 04:00:00+00:00,L,118756.0,114769.9,SL,-3.507
2025-07-26 08:00:00+00:00,2025-08-01 12:00:00+00:00,L,117776.1,114015.0,SL,-3.343
2025-08-03 00:00:00+00:00,2025-08-11 00:00:00+00:00,L,113604.2,119713.1,TP,5.227
2025-08-15 00:00:00+00:00,2025-08-18 00:00:00+00:00,L,118968.9,115319.0,REV,-3.218
2025-08-18 00:00:00+00:00,2025-08-25 20:00:00+00:00,S,115319.0,110290.7,TP,4.21
2025-09-04 12:00:00+00:00,2025-09-05 04:00:00+00:00,S,109510.3,112908.2,SL,-3.253
2025-09-05 04:00:00+00:00,2025-09-05 12:00:00+00:00,L,112954.3,110716.8,REV,-2.131
2025-09-05 12:00:00+00:00,2025-09-07 00:00:00+00:00,S,110716.8,110629.2,REV,-0.071
2025-09-07 00:00:00+00:00,2025-09-09 12:00:00+00:00,L,110629.2,110880.8,REV,0.077
2025-09-09 12:00:00+00:00,2025-09-10 12:00:00+00:00,S,110880.8,113810.2,SL,-2.792
2025-09-11 00:00:00+00:00,2025-09-12 08:00:00+00:00,L,114400.0,114913.4,REV,0.299
2025-09-12 08:00:00+00:00,2025-09-18 00:00:00+00:00,S,114913.4,117518.1,SL,-2.417
2025-09-20 12:00:00+00:00,2025-09-22 04:00:00+00:00,L,115986.7,113738.3,SL,-2.088
2025-09-25 00:00:00+00:00,2025-09-27 20:00:00+00:00,S,112546.2,109635.8,REV,2.436
2025-09-27 20:00:00+00:00,2025-09-29 12:00:00+00:00,L,109635.8,113566.6,TP,3.435
2025-09-30 16:00:00+00:00,2025-10-02 00:00:00+00:00,L,114360.0,118856.7,TP,3.782
2025-10-02 12:00:00+00:00,2025-10-05 04:00:00+00:00,L,119910.8,125036.3,TP,4.124
2025-10-09 00:00:00+00:00,2025-10-10 20:00:00+00:00,S,122038.0,115045.7,TP,5.58
2025-10-12 04:00:00+00:00,2025-10-14 00:00:00+00:00,L,111525.2,113500.0,REV,1.621
2025-10-14 00:00:00+00:00,2025-10-17 08:00:00+00:00,S,113500.0,104095.0,TP,8.136
2025-10-20 00:00:00+00:00,2025-10-21 00:00:00+00:00,L,110145.4,109059.2,REV,-1.136
2025-10-21 00:00:00+00:00,2025-10-21 12:00:00+00:00,S,109059.2,113249.4,SL,-3.992
2025-10-21 12:00:00+00:00,2025-10-21 20:00:00+00:00,L,113422.6,108303.1,SL,-4.664
2025-10-24 12:00:00+00:00,2025-10-26 08:00:00+00:00,S,110046.9,113286.1,REV,-3.093
2025-10-26 08:00:00+00:00,2025-10-29 16:00:00+00:00,L,113286.1,110021.3,SL,-3.032
2025-10-30 12:00:00+00:00,2025-11-02 04:00:00+00:00,S,107711.6,110895.5,REV,-3.106
2025-11-02 04:00:00+00:00,2025-11-03 04:00:00+00:00,L,110895.5,107476.9,SL,-3.233
2025-11-11 12:00:00+00:00,2025-11-14 04:00:00+00:00,S,103456.0,96329.4,TP,6.739
2025-11-14 04:00:00+00:00,2025-11-20 16:00:00+00:00,S,97152.0,88117.1,TP,9.15
2025-11-21 00:00:00+00:00,2025-11-23 12:00:00+00:00,S,85821.3,87087.4,REV,-1.625
2025-11-23 12:00:00+00:00,2025-11-30 20:00:00+00:00,L,87087.4,90360.0,REV,3.608
2025-11-30 20:00:00+00:00,2025-12-01 12:00:00+00:00,S,90360.0,85529.2,TP,5.196
2025-12-02 08:00:00+00:00,2025-12-03 04:00:00+00:00,L,87368.9,93708.4,TP,7.106
2025-12-03 12:00:00+00:00,2025-12-18 16:00:00+00:00,S,92373.3,84820.9,TP,8.026
2025-12-21 08:00:00+00:00,2025-12-25 20:00:00+00:00,L,88601.6,87225.3,REV,-1.703
2025-12-25 20:00:00+00:00,2025-12-29 00:00:00+00:00,S,87225.3,89901.8,SL,-3.219
2025-12-31 08:00:00+00:00,2026-01-05 00:00:00+00:00,L,89011.5,93033.2,TP,4.368
2026-01-07 08:00:00+00:00,2026-01-11 12:00:00+00:00,S,92087.2,90875.8,REV,1.166
2026-01-11 12:00:00+00:00,2026-01-12 08:00:00+00:00,L,90875.8,90621.0,REV,-0.43
2026-01-12 08:00:00+00:00,2026-01-13 12:00:00+00:00,S,90621.0,93062.2,SL,-2.844
2026-01-14 12:00:00+00:00,2026-01-17 20:00:00+00:00,L,96764.6,95147.8,REV,-1.821
2026-01-17 20:00:00+00:00,2026-01-20 04:00:00+00:00,S,95147.8,91109.1,TP,4.095
2026-01-20 04:00:00+00:00,2026-01-25 16:00:00+00:00,S,91178.0,86979.1,TP,4.455
