sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-12/038,4,4507929524,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.3,0.21,15,0.16121,0.16128,-0.0000695,11262900,
2026-05-12/039,1,4715620237,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.3,0.29,20,0.18044,0.18051,-0.0000767,10358300,
2026-05-12/039,2,4578398309,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.3,0.15,15,0.16132,0.16138,-0.0000774,11267900,
2026-05-12/039,3,4540321736,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.3,0.29,20,0.18045,0.18053,-0.0000776,10360100,
2026-05-12/039,4,4578399309,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.3,0.15,15,0.16138,0.16139,-0.0000695,11267700,
2026-05-12/041,1,4843502370,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.4,0.27,15,0.17385,0.17391,-0.0000676,10877100,
2026-05-12/041,2,5970247851,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,200,1.5,0.15,15,0.16119,0.16126,-0.0000696,11264500,
2026-05-12/041,3,5963690453,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.3,0.26,15,0.16989,0.16996,-0.0000757,11193500,
2026-05-12/041,4,5622137811,BTCUSD-инв,INDICATOR,Long,-0.5,0.03,5000,100,200,1.3,0.15,15,0.14718,0.14726,-0.0000792,12641700,
2026-05-12/043,1,5294887221,BTCUSD-инв,INDICATOR,Long,-1.1,0.04,5000,100,200,1.3,0.35,50,0.14023,0.14026,-0.0000375,6529900,
2026-05-12/043,2,5509537059,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.45,40,0.15507,0.15510,-0.0000348,5336500,
2026-05-12/043,3,4782862789,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.45,50,0.15904,0.15908,-0.0000417,5479300,
2026-05-12/043,4,5509537059,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.45,40,0.15507,0.15510,-0.0000348,5336500,дубль
2026-05-12/044,1,5764338851,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.45,0,0.15915,0.15919,-0.0000474,5480900,
2026-05-12/044,2,5855354177,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.55,60,0.16490,0.16494,-0.0000358,4527300,
2026-05-12/044,4,5850776440,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.45,0,0.15916,0.15921,-0.0000452,5477300,
2026-05-12/046,1,6077731481,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.65,70,0.17398,0.17403,-0.0000448,3993100,
2026-05-12/046,2,6059821067,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.6,60,0.16687,0.16690,-0.0000302,4209300,
2026-05-12/046,3,4571910950,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.7,60,0.17295,0.17301,-0.0000581,3682700,
2026-05-12/046,4,6188103327,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,0.8,70,0.18245,0.18248,-0.0000342,3391500,
2026-05-12/047,1,5768406799,BTCUSD-инв,INDICATOR,Long,-0.7,0.04,5000,100,200,1.3,0.9,0,0.18017,0.18018,-0.0000125,2938900,
