sheet,slot,id,window,equity_trough,position_extreme,unit,note
2026-05-12/027,1,6114770633,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/027,2,6319829445,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/027,3,6223144283,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 вход 2%
2026-05-12/027,4,4597714294,10.02-08.05,-3000,-1.1,USDT,шаг 0.03 таргет 0.35
2026-05-12/028,1,5722177968,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/028,2,5396794482,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/028,3,4456030405,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/028,4,5597362987,10.02-08.05,-1500,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/029,1,6044116855,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/029,2,4313942898,10.02-08.05,-4000,-1.4,USDT,шаг 0.03 таргет 0.35
2026-05-12/029,3,5923001951,10.02-08.05,-3000,-1.3,USDT,шаг 0.03 таргет 0.35
2026-05-12/029,4,5345557025,10.02-08.05,-3000,-1.3,USDT,шаг 0.03 таргет 0.35
2026-05-12/030,1,5448368963,10.02-08.05,-1300,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/030,2,5170781802,10.02-08.05,-3500,-1.4,USDT,шаг 0.03 таргет 0.35
2026-05-12/030,3,5076283154,10.02-08.05,-1200,-0.7,USDT,шаг 0.05 таргет 0.6
2026-05-12/030,4,5639761338,10.02-08.05,-3000,-1.3,USDT,шаг 0.03 таргет 0.35
2026-05-12/031,1,5409715758,10.02-08.05,-1000,-0.65,USDT,шаг 0.05 таргет 0.6
2026-05-12/031,2,5821688305,10.02-08.05,-3200,-1.3,USDT,шаг 0.03 таргет 0.35
2026-05-12/031,3,4372075846,10.02-08.05,-1000,-0.65,USDT,шаг 0.05 таргет 0.6
2026-05-12/031,4,5073068103,10.02-08.05,-13000,-3.0,USDT,МИНУС шаг 0.03
2026-05-12/032,1,5365998864,10.02-08.05,-17000,-3.0,USDT,МИНУС шаг 0.05 таргет 0.6
2026-05-12/032,2,5755756789,10.02-08.05,-4000,-1.5,USDT,шаг 0.03 таргет 0.35
2026-05-12/032,3,6400441655,10.02-08.05,-12000,-2.8,USDT,МИНУС шаг 0.03
2026-05-12/032,4,4393923927,10.02-08.05,-12000,-2.8,USDT,МИНУС шаг 0.03
2026-05-12/033,1,6023349586,05.02-04.05,-0.04,30000,BTC,инверс LONG шаг 0.03
2026-05-12/033,2,5648466148,05.02-04.05,-0.15,100000,BTC,инверс LONG шаг 0.02
2026-05-12/033,3,6142415013,05.02-04.05,-0.02,100000,BTC,инверс LONG вход -0.7%
2026-05-12/033,4,4618494423,05.02-04.05,-0.15,100000,BTC,инверс LONG вход -0.3%
2026-05-12/034,1,6142415013,05.02-04.05,-0.02,100000,BTC,инверс LONG вход -0.7%
2026-05-12/034,2,5400618661,05.02-04.05,-0.16,100000,BTC,инверс LONG вход -0.3%
2026-05-12/034,3,4354383204,05.02-04.05,-0.02,100000,BTC,инверс LONG вход -0.7%
2026-05-12/034,4,5422171314,05.02-04.05,-0.16,100000,BTC,инверс LONG вход -0.3%
2026-05-12/035,1,4960660846,05.02-04.05,-0.02,60000,BTC,инверс LONG вход -0.7%
2026-05-12/035,2,5823311791,05.02-04.05,-0.13,70000,BTC,инверс LONG шаг 0.03
2026-05-12/035,3,5263379408,05.02-04.05,-0.02,60000,BTC,инверс LONG шаг 0.03
2026-05-12/035,4,4536605987,05.02-04.05,-0.1,60000,BTC,инверс LONG шаг 0.03
2026-05-12/036,1,5276640495,05.02-04.05,-0.02,60000,BTC,инверс LONG вход -0.7%
2026-05-12/036,2,6324613845,05.02-04.05,-0.16,100000,BTC,инверс LONG вход -0.7%
2026-05-12/036,3,4983594784,05.02-04.05,-0.02,100000,BTC,инверс LONG вход -0.7%
2026-05-12/036,4,5936964169,05.02-04.05,-0.16,100000,BTC,инверс LONG вход -0.7%
2026-05-12/037,1,4571574358,05.02-04.05,-0.04,60000,BTC,инверс LONG шаг 0.03
2026-05-12/037,2,4935309443,05.02-04.05,-0.13,60000,BTC,инверс LONG шаг 0.03
2026-05-12/037,3,4571574358,05.02-04.05,-0.04,60000,BTC,повтор
2026-05-12/037,4,6204016695,05.02-04.05,-0.13,60000,BTC,инверс LONG шаг 0.03
2026-05-12/038,1,5512488164,05.02-04.05,-0.04,60000,BTC,инверс LONG шаг 0.03
2026-05-12/038,2,4638091771,05.02-04.05,-0.1,60000,BTC,инверс LONG шаг 0.03
2026-05-12/038,3,4996261222,05.02-04.05,-0.04,60000,BTC,инверс LONG шаг 0.03
2026-05-12/038,4,4507929524,05.02-04.05,-0.02,60000,BTC,инверс LONG вход -0.3%
2026-05-12/039,1,4715620237,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 0.29
2026-05-12/039,2,4578399309,05.02-05.05,-0.05,60000,BTC,инверс LONG таргет 0.25
2026-05-12/039,3,4540321736,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 0.29
2026-05-12/039,4,4578399309,05.02-04.05,-0.05,60000,BTC,повтор
2026-05-12/040,1,4561287250,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 0.29
2026-05-12/040,2,5093257243,05.02-04.05,-0.05,60000,BTC,инверс LONG таргет 0.25
2026-05-12/040,3,5129615111,05.02-04.05,-0.05,60000,BTC,инверс LONG таргет 0.25
2026-05-12/040,4,6247084940,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.27
2026-05-12/041,1,4843502370,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 0.27
2026-05-12/041,2,5970247851,05.02-04.05,-0.05,60000,BTC,инверс LONG таргет 0.25
2026-05-12/041,3,5963690453,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.26
2026-05-12/041,4,5822130781,05.02-04.05,-0.04,60000,BTC,инверс LONG вход -0.5%
2026-05-12/042,1,5501268794,05.02-04.05,-0.13,40000,BTC,инверс LONG шаг 0.04 вход -1.3%
2026-05-12/042,2,6179773960,05.02-04.05,-0.03,40000,BTC,инверс LONG шаг 0.04 вход -1.1%
2026-05-12/042,3,5501268794,05.02-04.05,-0.13,40000,BTC,повтор
2026-05-12/042,4,5954328859,05.02-04.05,-0.1,40000,BTC,инверс LONG шаг 0.04
2026-05-12/043,1,5294887221,05.02-04.05,-0.03,40000,BTC,инверс LONG шаг 0.04 вход -1.1%
2026-05-12/043,2,5509537059,05.02-04.05,-0.05,40000,BTC,инверс LONG шаг 0.04 вход -1.5%
2026-05-12/043,3,4782862789,05.02-04.05,-0.1,60000,BTC,инверс LONG шаг 0.04
2026-05-12/043,4,5509537059,05.02-04.05,-0.05,40000,BTC,повтор
2026-05-12/044,1,5764338851,05.02-04.05,-0.1,60000,BTC,инверс LONG шаг 0.04 таргет 0.45
2026-05-12/044,2,5855354177,05.02-04.05,-0.05,40000,BTC,инверс LONG таргет 0.55
2026-05-12/044,4,5850776440,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.45
2026-05-12/045,1,5103388848,05.02-04.05,-0.02,40000,BTC,инверс LONG таргет 0.55
2026-05-12/045,2,5103388848,05.02-04.05,-0.02,40000,BTC,повтор
2026-05-12/045,3,5290841033,05.02-04.05,-0.02,40000,BTC,инверс LONG таргет 0.6
2026-05-12/045,4,5382507436,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.85
2026-05-12/046,1,6077731461,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.65
2026-05-12/046,2,6059821067,05.02-04.05,-0.04,45000,BTC,инверс LONG таргет 0.6
2026-05-12/046,3,4571916950,05.02-04.05,-0.04,45000,BTC,инверс LONG таргет 0.6
2026-05-12/046,4,6188103327,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.7
2026-05-12/047,1,5768406799,05.02-04.05,-0.02,45000,BTC,инверс LONG таргет 0.9
2026-05-12/047,2,6207291209,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 1.0
2026-05-12/047,3,5218406474,05.02-04.05,-0.13,80000,BTC,инверс LONG макс 300
2026-05-12/047,4,4469676762,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9
2026-05-12/048,1,4469676762,05.02-04.05,-0.13,80000,BTC,повтор
2026-05-12/048,2,6090243515,05.02-04.05,-0.05,60000,BTC,инверс LONG шаг 0.05
2026-05-12/048,3,4545416242,05.02-04.05,-0.15,80000,BTC,инверс LONG таргет 1.0
2026-05-12/048,4,5354355802,05.02-04.05,-0.15,80000,BTC,инверс LONG вход -1%
2026-05-12/049,1,5317761136,05.02-04.05,-0.05,60000,BTC,инверс LONG таргет 0.5
2026-05-12/049,3,5354355802,05.02-04.05,-0.15,80000,BTC,повтор
2026-05-12/049,4,6033239746,05.02-04.05,-0.01,10000,BTC,инверс LONG таргет 0.5 мульт 1.1
2026-05-12/050,1,4674458260,05.02-04.05,-0.02,10000,BTC,инверс LONG таргет 0.6 мульт 1.1
2026-05-12/050,2,5309517410,05.02-04.05,-0.13,200000,BTC,инверс LONG макс 400
2026-05-12/050,4,6318113466,05.02-04.05,-0.2,100000,BTC,инверс LONG таргет 0.25
2026-05-12/051,1,6203942125,05.02-04.05,-0.05,100000,BTC,инверс LONG макс 400
2026-05-12/051,2,5011655703,05.02-04.05,-0.15,60000,BTC,инверс LONG таргет 0.25
2026-05-12/051,3,6257617170,05.02-04.05,-0.05,100000,BTC,инверс LONG таргет 0.25
2026-05-12/051,4,5383186048,05.02-04.05,-0.13,60000,BTC,инверс LONG таргет 0.35
2026-05-12/052,1,4860253972,05.02-04.05,-0.05,60000,BTC,инверс LONG таргет 0.27
2026-05-12/052,2,6298316629,05.02-04.05,-0.1,60000,BTC,инверс LONG таргет 0.21
2026-05-12/052,3,4857324542,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.4
2026-05-12/052,4,6124052174,05.02-04.05,-0.1,80000,BTC,инверс LONG таргет 0.55
2026-05-12/053,1,5318700737,05.02-04.05,-0.05,80000,BTC,инверс LONG таргет 0.8
2026-05-12/053,2,6037944981,05.02-04.05,-0.15,80000,BTC,инверс LONG таргет 0.7
2026-05-12/053,3,5113642929,05.02-04.05,-0.13,100000,BTC,инверс LONG таргет 0.9
2026-05-12/053,4,4715172188,05.02-04.05,-0.1,80000,BTC,инверс LONG таргет 0.9
2026-05-12/054,1,5424006086,05.02-04.05,-0.05,80000,BTC,инверс LONG таргет 1.0
2026-05-12/054,2,6067821317,05.02-04.05,-0.15,100000,BTC,инверс LONG таргет 1.0
2026-05-13/001,1,5276745007,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.75
2026-05-13/001,2,5380016859,05.02-04.05,-0.1,80000,BTC,инверс LONG таргет 0.85
2026-05-13/001,3,5318609451,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.8
2026-05-13/001,4,5248745524,10.02-08.05,-3200,-1.3,USDT,SHORT шаг 0.03 таргет 0.35
2026-05-13/002,1,5248745524,10.02-08.05,-3200,-1.3,USDT,повтор
2026-05-13/002,2,4543544829,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9
2026-05-13/002,3,6017436038,10.02-08.05,-3000,-1.3,USDT,SHORT таргет 0.35 тейк 170
2026-05-13/002,4,5526771916,10.02-08.05,-3000,-1.3,USDT,SHORT таргет 0.35 тейк 175
2026-05-13/003,1,4627811167,10.02-08.05,-3000,-1.3,USDT,SHORT таргет 0.35 тейк 175
2026-05-13/003,2,5814477762,10.02-08.05,-2500,-1.2,USDT,SHORT таргет 0.35 тейк 190
2026-05-13/003,3,6362679742,10.02-08.05,-3000,-1.3,USDT,SHORT таргет 0.35 тейк 200
2026-05-13/003,4,4453036378,10.02-08.05,-5500,-2.0,USDT,SHORT шаг 0.02 вход 0.7%
2026-05-13/004,2,5167050460,10.02-08.05,-2800,-1.3,USDT,SHORT таргет 0.35 тейк 200
2026-05-13/004,3,5468038571,10.02-08.05,-5500,-2.0,USDT,SHORT шаг 0.02 вход 0.7%
2026-05-13/004,4,4543403488,10.02-08.05,-5500,-2.0,USDT,SHORT шаг 0.02 таргет 0.21
2026-05-13/005,1,5553695831,10.02-08.05,-6000,-2.0,USDT,SHORT таргет 0.21 тейк 13
2026-05-13/005,2,5963377627,10.02-08.05,-5500,-2.0,USDT,SHORT таргет 0.21 тейк 14
2026-05-13/005,3,6017496699,10.02-08.05,-6000,-2.0,USDT,SHORT таргет 0.21 тейк 14
2026-05-13/005,4,5794347554,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.8
2026-05-13/006,1,5598009257,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9 макс.стоп 0.04
2026-05-13/006,2,5923860640,05.02-04.05,-0.1,80000,BTC,инверс LONG таргет 0.9
2026-05-13/006,3,4506433235,10.02-08.05,-6000,-1.9,USDT,SHORT таргет 0.21 макс.стоп 0.015
2026-05-13/006,4,4958612139,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9 макс.стоп 0.04
2026-05-13/007,1,4839809357,10.02-08.05,-6000,-2.0,USDT,SHORT таргет 0.21 макс.стоп 0.035
2026-05-13/007,2,5578263402,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9 макс.стоп 0.012
2026-05-13/007,3,4794987162,10.02-08.05,-2800,-1.3,USDT,SHORT таргет 0.35 тейк 175
2026-05-13/007,4,4655391088,05.02-04.05,-0.13,80000,BTC,инверс LONG таргет 0.9 макс.стоп 0.06
2026-05-13/008,1,4475493538,10.02-08.05,-3000,-1.3,USDT,SHORT таргет 0.35 макс.стоп 0.035
