ts_utc,bot_id,bot_name,alias,status,position,profit,current_profit,in_filled_count,in_filled_qty,out_filled_count,out_filled_qty,trigger_count,trigger_qty,average_price,trade_volume,balance,liquidation_price,schema_version
2026-06-10T08:49:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:50:04+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:50:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:50:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:51:04+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:51:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:51:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:52:04+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:52:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:52:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:53:05+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:53:05+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:53:05+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:54:04+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:54:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:54:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:55:04+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:55:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:55:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:56:05+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:56:05+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
2026-06-10T08:56:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T08:57:05+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:57:05+00:00,5617871752,WLD,,2,0,3.300816,-3.8384174999999994,10,,4,,6,,0,2095.65,7524.227078,0,3
2026-06-10T08:57:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T08:58:05+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:58:05+00:00,5617871752,WLD,,2,0,3.300816,-3.8384174999999994,10,,4,,6,,0,2095.65,7524.227078,0,3
2026-06-10T08:58:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T08:59:05+00:00,5693279219,SOL,,2,3,0.916009,-1.3438332500000003,4,,1,,3,,63.8191304347826,1071.612,7524.279105,0,3
2026-06-10T08:59:05+00:00,5617871752,WLD,,2,0,3.300816,-3.8384174999999994,10,,4,,6,,0,2095.65,7524.227078,0,3
2026-06-10T08:59:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:00:05+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:00:05+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:00:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
