direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1722822000000,2024-08-05T01:40:00.000000000,54802.11,3.084,1,32.02,-3811.4,0.4792,1.841,380.9197,0.0001,-0.266,-181.5,0.4915,-0.008,87.9,0.4843,-1.271,-70.5,0.4517,-1.353,-587.5,0.4649,0.715,20,-1,whipsaw,1.263
down,1722834120000,2024-08-05T05:02:00.000000000,53228.01,-1.677,2,3.52,-114.8,0.4618,1.878,95.9138,0.0001,-0.567,-182.9,0.4015,-1.266,137.7,0.4596,0.939,333.1,0.4919,-1.108,599.2,0.4793,-7.943,24,8,trend,-4.156
up,1722836040000,2024-08-05T05:34:00.000000000,53784.0,1.552,2,8.85,333.1,0.5069,1.767,216.5362,0.0001,-0.731,197.3,0.4544,-1.45,346.1,0.4504,-2.437,266.2,0.4608,-5.262,-1183.2,0.4474,0.082,6,-1,whipsaw,3.293
down,1722851220000,2024-08-05T09:47:00.000000000,52006.0,-1.547,1,1.33,-215.7,0.4805,2.182,67.8324,4.4e-05,0.232,-147.7,0.4624,0.911,-303.5,0.5087,-0.606,-331.8,0.4636,-1.008,-499.8,0.4679,-4.736,12,37,whipsaw,-6.072
down,1722860220000,2024-08-05T12:17:00.000000000,50576.51,-1.611,1,1.52,385.6,0.4794,2.02,112.6628,4.4e-05,-0.465,-140.3,0.454,-1.318,323.0,0.443,-0.195,-500.8,0.4723,-1.294,332.6,0.475,-2.044,24,11,trend,-9.177
up,1722864600000,2024-08-05T13:30:00.000000000,50574.0,1.861,3,2.39,1151.1,0.4772,1.735,220.3779,4.4e-05,1.08,655.3,0.5572,2.099,304.7,0.5201,5.711,361.4,0.5099,4.577,-352.7,0.5042,9.938,0,3,whipsaw,9.449
down,1722876840000,2024-08-05T16:54:00.000000000,54289.04,-1.573,2,1.45,348.4,0.5473,1.884,158.7259,6e-05,-0.46,10.6,0.4827,-0.41,-149.3,0.492,0.369,773.8,0.4999,1.188,248.4,0.5228,-3.194,54,90,whipsaw,-4.794
up,1722888480000,2024-08-05T20:08:00.000000000,54193.28,1.571,2,0.78,-291.6,0.5032,2.021,81.0572,6e-05,-0.503,237.6,0.4522,-0.557,220.8,0.4836,-1.124,129.1,0.4624,0.3,293.9,0.522,1.858,8,54,whipsaw,4.574
up,1722903420000,2024-08-06T00:17:00.000000000,55334.68,1.969,1,0.71,-155.3,0.5079,1.657,100.3666,3.6e-05,0.143,157.5,0.5465,0.306,99.8,0.5044,0.707,-52.2,0.5138,1.585,187.2,0.5364,1.701,-1,31,trend,0.592
down,1722933240000,2024-08-06T08:34:00.000000000,55022.01,-1.627,1,1.31,-37.0,0.4658,1.726,73.9269,-2.8e-05,-0.153,-258.0,0.4154,-0.513,-523.9,0.4565,-0.345,-610.4,0.4608,-0.305,-731.1,0.4817,-0.767,-1,-1,partial,-3.773
