direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1718721300000,2024-06-18T14:35:00.000000000,0.49,1.666,1,1.95,293872.0,0.5056,1.749,0.0008,9.1e-05,-0.142,435973.0,0.4291,-0.506,138385.0,0.441,-2.043,-816746.0,0.4663,-1.841,-1392195.0,0.4959,0.04,16,-1,whipsaw,-0.708
down,1718722320000,2024-06-18T14:52:00.000000000,0.48,-1.684,1,2.16,1025467.0,0.4531,1.676,0.0007,9.1e-05,-0.371,-811214.0,0.5042,-0.289,-955131.0,0.5093,0.413,-1422828.0,0.5491,0.289,-1681342.0,0.5266,-1.527,-1,86,trend,-1.465
up,1718741820000,2024-06-18T20:17:00.000000000,0.48,1.573,1,1.05,-947840.0,0.5233,1.705,0.0006,0.0001,-0.145,255127.0,0.4907,-0.372,45267.0,0.5168,-0.062,-1087144.0,0.521,0.805,-2094809.0,0.5365,1.507,-1,35,trend,2.374
down,1718899620000,2024-06-20T16:07:00.000000000,0.49,-1.61,1,4.16,832089.0,0.5017,1.828,0.0007,0.0001,0.45,-1237468.0,0.5502,0.307,-2439033.0,0.5051,0.491,-2702869.0,0.507,0.47,-3499915.0,0.4612,-0.143,-1,-1,partial,1.043
up,1719007320000,2024-06-21T22:02:00.000000000,0.49,1.714,1,1.34,-306298.0,0.6462,1.16,0.0005,3.5e-05,-0.609,-758553.0,0.5163,-0.528,-309310.0,0.5378,-0.467,-144570.0,0.4799,-0.426,48699.0,0.5092,0.061,0,-1,whipsaw,-0.954
down,1719221580000,2024-06-24T09:33:00.000000000,0.47,-1.619,1,8.29,-1399120.0,0.4966,2.044,0.0006,-1e-05,0.363,-4280138.0,0.4712,1.132,-5172857.0,0.4548,1.731,-5771814.0,0.4828,1.709,-6287493.0,0.4543,-0.962,0,-1,whipsaw,-1.624
up,1719223380000,2024-06-24T10:03:00.000000000,0.48,1.731,1,15.84,-5771814.0,0.4828,1.905,0.0008,-1e-05,0.0,-400886.0,0.4142,-0.126,-124244.0,0.4509,-0.021,-515679.0,0.4309,0.315,-1276187.0,0.4429,1.344,-1,210,trend,-0.168
down,1720056840000,2024-07-04T01:34:00.000000000,0.46,-1.898,1,3.98,-1820709.0,0.4494,1.439,0.0008,2.9e-05,0.109,160881.0,0.4503,-0.5,-1070285.0,0.4695,-1.543,-6512917.0,0.4733,-0.522,-10069670.0,0.5177,-3.282,0,22,whipsaw,8.368
up,1720060200000,2024-07-04T02:30:00.000000000,0.46,2.742,1,7.91,-3556753.0,0.5385,1.358,0.0008,2.9e-05,0.153,-10543.0,0.6667,0.481,-731182.0,0.5623,0.328,-1001835.0,0.5638,0.241,-895537.0,0.5135,0.722,-1,-1,partial,-8.18
down,1720098240000,2024-07-04T13:04:00.000000000,0.44,-1.636,1,3.2,-193258.0,0.4612,1.924,0.0004,6e-05,-0.067,-2390741.0,0.4399,-0.652,-1809432.0,0.4728,-0.989,-2805431.0,0.4823,-0.022,-200259.0,0.493,-1.551,-1,23,trend,7.395
down,1720117020000,2024-07-04T18:17:00.000000000,0.44,-1.51,1,1.5,-1261742.0,0.4285,1.574,0.0005,0.0001,0.275,830947.0,0.5223,0.618,1260796.0,0.5097,0.16,1444577.0,0.4844,0.961,691342.0,0.5533,-0.023,52,-1,whipsaw,3.273
down,1720136400000,2024-07-04T23:40:00.000000000,0.43,-1.828,4,1.92,384478.0,0.5044,1.671,0.0008,0.0001,0.184,-237713.0,0.5054,-0.115,1112711.0,0.4776,-1.495,-271186.0,0.4823,-2.161,-1575560.0,0.489,-12.095,-1,23,trend,1.84
up,1720141620000,2024-07-05T01:07:00.000000000,0.43,1.757,1,6.55,215187.0,0.4936,1.495,0.0018,-3.9e-05,-0.373,-569743.0,0.4462,-1.494,-288981.0,0.452,-2.007,796723.0,0.4485,-1.68,319239.0,0.4671,0.187,14,-1,whipsaw,-0.327
up,1720150500000,2024-07-05T03:35:00.000000000,0.4,2.422,2,13.36,1706867.0,0.5166,2.035,0.0021,-3.9e-05,-0.473,-154284.0,0.5018,0.0,-1145867.0,0.4779,-0.498,-1453896.0,0.4613,0.299,-2304357.0,0.487,1.369,24,101,whipsaw,6.222
up,1720171620000,2024-07-05T09:27:00.000000000,0.4,1.684,1,2.22,-1041846.0,0.5382,1.986,0.0007,-7.3e-05,-0.222,348929.0,0.4744,-0.025,443860.0,0.4879,0.42,-877759.0,0.4728,1.063,-1625158.0,0.4737,3.906,-1,43,trend,6.477
up,1720186380000,2024-07-05T13:33:00.000000000,0.42,1.553,1,0.85,3853432.0,0.5442,1.516,0.0005,-7.3e-05,0.239,880583.0,0.5353,0.072,2536743.0,0.4756,0.263,2205959.0,0.4923,0.382,1504661.0,0.4423,2.174,-1,73,trend,3.966
up,1720226160000,2024-07-06T00:36:00.000000000,0.43,1.535,1,0.62,-813931.0,0.5078,1.683,0.0004,6.5e-05,0.279,27492.0,0.5726,-0.163,683087.0,0.4825,-0.791,-136793.0,0.5013,-0.651,1103344.0,0.5043,0.465,86,-1,whipsaw,4.233
down,1720359540000,2024-07-07T13:39:00.000000000,0.43,-1.774,1,4.19,-1395312.0,0.4585,1.679,0.0007,0.0001,-0.094,-126300.0,0.4517,0.188,-268157.0,0.4745,-0.469,-760590.0,0.4856,-0.54,-590118.0,0.4806,-1.079,159,43,trend,-3.073
down,1720387380000,2024-07-07T21:23:00.000000000,0.42,-1.608,1,2.47,-957906.0,0.4213,1.538,0.0006,-3.2e-05,0.047,-216354.0,0.4169,0.308,102497.0,0.5051,0.805,374712.0,0.497,0.545,1260792.0,0.4915,-4.5,-1,162,trend,-1.468
