direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1720186380000,2024-07-05T13:33:00.000000000,2973.4,1.523,2,1.11,5400.2,0.5002,1.674,4.2079,9.6e-05,-0.03,2484.1,0.5538,-0.443,3441.6,0.4937,-0.449,1682.6,0.508,-1.049,-2802.8,0.5047,1.077,42,117,whipsaw,1.021
up,1720226280000,2024-07-06T00:38:00.000000000,3024.41,1.721,1,0.87,-2481.8,0.4578,1.716,2.7083,9e-05,-0.243,-607.7,0.4417,-1.056,-910.0,0.3911,-1.64,-2206.9,0.3695,-1.739,-208.9,0.4271,0.067,12,-1,whipsaw,1.083
down,1720228080000,2024-07-06T01:08:00.000000000,2974.81,-1.64,1,1.37,-2206.9,0.3695,1.672,3.9931,9e-05,0.238,976.7,0.457,0.02,1969.3,0.4826,-0.1,1998.0,0.4853,-0.453,837.3,0.4952,-0.664,-1,-1,partial,-2.421
down,1720387380000,2024-07-07T21:23:00.000000000,2946.39,-1.689,1,6.15,-1130.4,0.4295,1.646,3.4917,5.4e-05,-0.157,363.5,0.5223,-0.071,3532.1,0.5288,0.395,5500.3,0.536,0.453,8100.7,0.5289,-4.195,-1,195,trend,-1.902
down,1720399500000,2024-07-08T00:45:00.000000000,2893.25,-1.516,1,6.87,-1807.8,0.5117,2.033,3.7734,0.0001,0.012,1255.6,0.4759,-0.251,854.6,0.5203,-1.937,-4384.6,0.4762,-1.773,-8709.1,0.5132,-2.435,-1,20,trend,-4.768
up,1720404180000,2024-07-08T02:03:00.000000000,2875.87,1.621,1,5.35,1036.5,0.5458,1.495,5.08,0.0001,-0.656,-35.7,0.4874,-0.99,1629.4,0.4458,0.602,7315.2,0.4877,0.561,5843.1,0.4764,1.587,12,151,whipsaw,4.789
up,1720426500000,2024-07-08T08:15:00.000000000,2973.98,1.842,1,3.22,-2046.6,0.5552,1.533,3.6417,3.4e-05,0.545,1085.1,0.5704,0.996,1436.7,0.5625,1.601,4360.4,0.5131,2.915,8732.5,0.4823,4.139,-1,10,trend,3.201
down,1720448820000,2024-07-08T14:27:00.000000000,2991.07,-1.525,1,3.31,1304.0,0.4269,1.574,5.4417,3.4e-05,-2.088,-10483.3,0.4912,-0.4,-24275.5,0.5276,-0.543,-24006.6,0.4834,0.531,-19291.0,0.4961,-3.379,45,2,trend,-2.632
up,1720450860000,2024-07-08T15:01:00.000000000,2989.72,2.232,1,12.53,-13346.8,0.5106,1.769,9.11,3.4e-05,-0.198,-1176.4,0.5054,0.374,2042.8,0.4761,0.417,4910.3,0.4788,-0.345,-1757.8,0.4673,1.554,88,11,trend,1.929
down,1720668060000,2024-07-11T03:21:00.000000000,3057.94,-1.522,1,2.7,-3713.5,0.5405,1.865,2.0738,4.3e-05,0.465,1734.0,0.5741,0.376,1585.4,0.5736,0.525,2827.2,0.5854,0.708,2607.9,0.605,-0.104,84,-1,whipsaw,-1.071
up,1720701120000,2024-07-11T12:32:00.000000000,3194.12,1.567,1,13.51,-4978.6,0.4937,1.565,7.1717,8.7e-05,-0.129,-381.1,0.455,0.071,924.6,0.4537,-0.169,5802.7,0.4788,-0.499,10722.3,0.4774,0.724,37,-1,whipsaw,-4.008
down,1720713060000,2024-07-11T15:51:00.000000000,3108.13,-1.552,1,4.1,1356.4,0.5185,1.848,4.6424,8.7e-05,0.022,1967.8,0.5108,0.093,448.4,0.4828,0.473,2789.1,0.5039,0.386,2244.4,0.4934,-0.348,95,-1,whipsaw,-0.704
down,1720747140000,2024-07-12T01:19:00.000000000,3066.94,-1.521,1,2.08,-1130.8,0.4077,1.54,3.4941,0.0001,-0.18,-1309.1,0.3931,0.153,-8007.2,0.5177,0.658,-7479.9,0.5533,0.943,-9059.9,0.5361,-0.386,59,-1,whipsaw,-2.247
up,1721010720000,2024-07-15T02:32:00.000000000,3319.82,1.553,1,5.53,-3928.5,0.5605,1.543,2.7134,9.7e-05,0.287,-3177.9,0.5443,0.298,-3758.8,0.4756,0.306,-5705.3,0.496,0.186,-6808.2,0.5414,0.957,-1,-1,partial,4.232
up,1721143140000,2024-07-16T15:19:00.000000000,3450.15,1.554,1,2.23,7629.2,0.6518,1.845,2.8159,9.8e-05,-0.482,5005.0,0.4528,0.148,7134.9,0.5326,0.367,14275.3,0.5346,0.309,17713.3,0.5215,1.282,-1,38,trend,0.41
up,1721179020000,2024-07-17T01:17:00.000000000,3516.6,1.573,1,3.3,1928.8,0.6411,1.583,2.749,5.8e-05,-0.341,-53.0,0.5249,-0.432,-1033.1,0.4707,-0.523,397.9,0.5063,-1.039,328.6,0.5086,0.011,60,-1,whipsaw,-2.823
up,1721404920000,2024-07-19T16:02:00.000000000,3493.8,1.544,1,5.52,158.3,0.6002,1.548,3.6548,0.0001,-0.445,-3462.1,0.4601,-0.202,-2352.7,0.5468,-0.156,-6047.2,0.562,-0.226,-3729.3,0.5218,1.33,-1,198,trend,0.223
down,1721584380000,2024-07-21T17:53:00.000000000,3453.45,-1.549,1,11.21,-2702.4,0.4256,1.513,2.4766,6.7e-05,0.5,-3742.7,0.559,-0.922,-3912.9,0.4695,0.241,2783.5,0.5028,0.178,-9441.0,0.4624,-1.218,97,17,trend,-0.424
up,1721587260000,2024-07-21T18:41:00.000000000,3470.96,1.582,1,16.12,-6314.4,0.5019,2.132,5.53,6.7e-05,-0.39,-1239.1,0.4169,-0.25,-2208.5,0.3921,-0.315,-3231.7,0.4137,0.409,-5085.5,0.4534,2.191,-1,99,trend,0.013
up,1721723460000,2024-07-23T08:31:00.000000000,3508.05,1.518,1,5.68,8865.7,0.5605,1.588,2.7407,0.0001,0.204,2374.5,0.6236,0.151,8484.2,0.5631,0.455,20550.4,0.5966,0.636,26881.4,0.5961,0.939,-1,-1,partial,-1.626
down,1721742300000,2024-07-23T13:45:00.000000000,3442.42,-1.592,1,8.09,-369.1,0.495,1.586,8.8162,0.0001,-0.284,5000.6,0.4623,-0.008,14103.6,0.4774,0.666,16710.5,0.5057,1.422,19197.9,0.5193,-1.552,36,188,whipsaw,-0.556
down,1721753580000,2024-07-23T16:53:00.000000000,3406.6,-1.736,1,5.07,-22051.8,0.494,1.488,6.5231,9e-05,0.22,-3411.9,0.4893,0.04,1251.2,0.4968,0.274,3575.2,0.5243,0.5,11459.8,0.5369,-0.517,103,-1,whipsaw,-0.458
up,1721762760000,2024-07-23T19:26:00.000000000,3495.83,1.516,1,2.74,3782.8,0.5859,1.449,2.9279,9e-05,-0.33,2295.0,0.5575,-0.546,3392.6,0.5292,-0.711,3828.3,0.5011,-0.476,16376.1,0.5583,0.119,28,-1,whipsaw,-2.977
