n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
208,49.5,-0.275,"{2024: np.float64(-0.186), 2025: np.float64(-0.676), 2026: np.float64(0.869)}",1,SMA,close,21,55,MA200,False
286,49.7,-0.053,"{2024: np.float64(-0.055), 2025: np.float64(-0.234), 2026: np.float64(0.563)}",1,SMA,close,21,77,—,False
178,50.0,-0.106,"{2024: np.float64(-0.032), 2025: np.float64(-0.474), 2026: np.float64(0.974)}",1,SMA,close,21,77,MA200,False
247,51.0,-0.009,"{2024: np.float64(0.038), 2025: np.float64(-0.126), 2026: np.float64(0.258)}",2,SMA,close,21,89,—,False
159,51.6,-0.008,"{2024: np.float64(0.316), 2025: np.float64(-0.34), 2026: np.float64(0.208)}",2,SMA,close,21,89,MA200,False
234,45.7,-0.181,"{2024: np.float64(0.095), 2025: np.float64(-0.337), 2026: np.float64(-0.347)}",1,SMA,close,21,100,—,False
163,44.8,-0.321,"{2024: np.float64(-0.096), 2025: np.float64(-0.532), 2026: np.float64(-0.155)}",0,SMA,close,21,100,MA200,False
159,44.7,-0.246,"{2024: np.float64(-0.13), 2025: np.float64(-0.432), 2026: np.float64(0.051)}",1,SMA,close,21,200,—,False
146,43.2,-0.309,"{2024: np.float64(-0.273), 2025: np.float64(-0.439), 2026: np.float64(-0.009)}",0,SMA,close,21,200,MA200,False
278,50.7,-0.055,"{2024: np.float64(-0.276), 2025: np.float64(-0.118), 2026: np.float64(0.856)}",1,SMA,close,34,55,—,False
164,50.0,-0.167,"{2024: np.float64(-0.148), 2025: np.float64(-0.535), 2026: np.float64(1.087)}",1,SMA,close,34,55,MA200,False
230,52.6,0.014,"{2024: np.float64(-0.051), 2025: np.float64(-0.09), 2026: np.float64(0.565)}",1,SMA,close,34,77,—,False
153,50.3,0.034,"{2024: np.float64(0.175), 2025: np.float64(-0.253), 2026: np.float64(0.573)}",2,SMA,close,34,77,MA200,False
206,49.5,0.023,"{2024: np.float64(0.105), 2025: np.float64(-0.116), 2026: np.float64(0.248)}",2,SMA,close,34,89,—,False
143,48.3,-0.056,"{2024: np.float64(0.185), 2025: np.float64(-0.392), 2026: np.float64(0.386)}",2,SMA,close,34,89,MA200,False
198,51.0,-0.008,"{2024: np.float64(0.111), 2025: np.float64(-0.192), 2026: np.float64(0.251)}",2,SMA,close,34,100,—,False
133,55.6,-0.013,"{2024: np.float64(0.103), 2025: np.float64(-0.282), 2026: np.float64(0.527)}",2,SMA,close,34,100,MA200,False
131,51.1,0.017,"{2024: np.float64(0.446), 2025: np.float64(-0.382), 2026: np.float64(0.174)}",2,SMA,close,34,200,—,False
116,50.9,-0.023,"{2024: np.float64(0.496), 2025: np.float64(-0.503), 2026: np.float64(0.147)}",2,SMA,close,34,200,MA200,False
168,51.2,0.035,"{2024: np.float64(0.213), 2025: np.float64(-0.057), 2026: np.float64(-0.249)}",1,SMA,close,55,77,—,False
99,50.5,-0.097,"{2024: np.float64(0.066), 2025: np.float64(-0.305), 2026: np.float64(-0.013)}",1,SMA,close,55,77,MA200,False
162,45.7,-0.085,"{2024: np.float64(0.153), 2025: np.float64(-0.132), 2026: np.float64(-0.655)}",1,SMA,close,55,89,—,False
108,46.3,-0.167,"{2024: np.float64(-0.028), 2025: np.float64(-0.21), 2026: np.float64(-0.43)}",0,SMA,close,55,89,MA200,False
156,50.6,0.158,"{2024: np.float64(0.687), 2025: np.float64(-0.044), 2026: np.float64(-0.53)}",1,SMA,close,55,100,—,True
110,47.3,-0.061,"{2024: np.float64(0.144), 2025: np.float64(-0.036), 2026: np.float64(-0.542)}",1,SMA,close,55,100,MA200,False
95,50.5,0.038,"{2024: np.float64(0.54), 2025: np.float64(-0.199), 2026: np.float64(-0.668)}",1,SMA,close,55,200,—,False
88,52.3,0.055,"{2024: np.float64(0.611), 2025: np.float64(-0.193), 2026: np.float64(-0.668)}",1,SMA,close,55,200,MA200,False
105,52.4,0.088,"{2024: np.float64(0.184), 2025: np.float64(-0.083), 2026: np.float64(0.253)}",2,SMA,close,77,89,—,False
66,45.5,-0.095,"{2024: np.float64(-0.275), 2025: np.float64(0.034), 2026: None}",1,SMA,close,77,89,MA200,False
